scheme,update_ratio,threads,ops,time,ops_per_us,add,erase,contains,found
rcu,0.02,1,16455651,29999893,0.548524,165077,165147,16125427,8070188
rcu,0.02,2,25192667,29999893,0.839759,252315,251955,24688397,12377526
rcu,0.02,4,43070120,29999899,1.43568,430722,431261,42208137,21092497
rcu,0.02,6,55183645,29999898,1.83946,552446,552021,54079178,27004908
rcu,0.02,8,63393547,29999910,2.11312,633067,634779,62125701,31025150
rcu,0.02,10,68757208,30026139,2.28991,687211,688599,67381398,33616125
rcu,0.02,12,71704273,30004676,2.38977,718266,717310,70268697,35165000
rcu,0.02,14,77130144,29999897,2.57101,772570,771439,75586135,37817193
rcu,0.02,16,83262197,29999903,2.77542,833447,832290,81596460,40826143
rcu,0.2,1,11544412,29999903,0.384815,1156021,1153172,9235219,4623195
rcu,0.2,2,17379075,30025058,0.578819,1738018,1735954,13905103,6955780
rcu,0.2,4,21417900,30013362,0.713612,2140805,2143813,17133282,8556234
rcu,0.2,6,24678310,30028907,0.821818,2464286,2467936,19746088,9870510
rcu,0.2,8,23777771,29999940,0.792594,2376810,2379002,19021959,9508652
rcu,0.2,10,22142540,29999967,0.738085,2211388,2215026,17716126,8844729
rcu,0.2,12,21038564,30027798,0.700636,2102663,2105969,16829932,8406402
rcu,0.2,14,21204239,29999998,0.706808,2119934,2119132,16965173,8484188
rcu,0.2,16,21253823,30002376,0.708405,2124512,2128581,17000730,8487859
rcu,0.4,1,8868580,30005347,0.295567,1773842,1773647,5321091,2662565
rcu,0.4,2,12089231,30028773,0.402588,2417522,2417675,7254034,3628138
rcu,0.4,4,12958973,30017050,0.43172,2590447,2591849,7776677,3885654
rcu,0.4,6,12845310,29999916,0.428178,2567504,2568472,7709334,3853883
rcu,0.4,8,12237987,29999943,0.407934,2447644,2448940,7341403,3669555
rcu,0.4,10,11540267,30019821,0.384422,2307240,2310189,6922838,3458648
rcu,0.4,12,11510655,29999999,0.383689,2304313,2301556,6904786,3452634
rcu,0.4,14,11062032,30014253,0.368559,2211714,2212766,6637552,3316278
rcu,0.4,16,11798791,30000045,0.393292,2359090,2360911,7078790,3535553
rlu,0.02,1,19205536,29999895,0.6401871,192497,191434,18821605,9444837
rlu,0.02,2,22601915,29999891,0.75342,226328,226612,22148975,11051835
rlu,0.02,4,41172824,29999892,1.372434,411232,411079,40350513,20166448
rlu,0.02,6,61808674,29999891,2.06036,617264,618009,60573401,30215286
rlu,0.02,8,81852129,29999885,2.728418,819850,818804,80213475,40160016
rlu,0.02,10,110464124,29999906,3.682151,1104833,1106328,108252963,54076479
rlu,0.02,12,134538013,29999902,4.484621,1344815,1346799,131846399,65820186
rlu,0.02,14,144589168,29999940,4.819651,1446443,1445926,141696799,70861252
rlu,0.02,16,143905025,29999903,4.796851,1440643,1441254,141023128,70484857
rlu,0.2,1,18808897,29999894,0.6269651,1880207,1880851,15047839,7523535
rlu,0.2,2,17844545,29999899,0.594821,1784521,1784366,14275658,7144972
rlu,0.2,4,33704458,29999892,1.123493,3368171,3371015,26965272,13473721
rlu,0.2,6,52800278,29999905,1.760025,5280851,5277341,42242086,21138976
rlu,0.2,8,73993555,29999892,2.466467,7400574,7402325,59190656,29586412
rlu,0.2,10,94133549,29999903,3.13789,9418651,9413295,75301603,37652487
rlu,0.2,12,112660065,29999895,3.755351,11265562,11266803,90127700,45051047
rlu,0.2,14,129406523,29999908,4.313561,12936609,12942429,103527485,51769127
rlu,0.2,16,140748346,29999892,4.691631,14074662,14077492,112596192,56284664
rlu,0.4,1,18683070,29999903,0.6227713,3738360,3734817,11209893,5604178
rlu,0.4,2,16675351,29999896,0.5558473,3334377,3335574,10005400,5002553
rlu,0.4,4,29990538,29999893,0.9996885,5994673,5999628,17996237,8992186
rlu,0.4,6,46165850,29999893,1.538879,9233629,9231803,27700418,13852850
rlu,0.4,8,64607777,29999891,2.15361,12924751,12923593,38759433,19386359
rlu,0.4,10,80878175,29999896,2.695951,16174331,16172058,48531786,24261018
rlu,0.4,12,95270421,29999901,3.175691,19048356,19061058,57161007,28570255
rlu,0.4,14,108904720,29999930,3.630172,21781186,21785640,65337894,32653256
rlu,0.4,16,121605521,29999892,4.053532,24325854,24323713,72955954,36486488
